
    samplingTIme    selfLoopCount    minDwellTime    muVal     alphaVal     Gamma  
    ____________    _____________    ____________    ______    ________    ________

     1              5                4.4651          137.91    -0.79536     -1.1776
     2              3                5.1535          545.68     -0.9573     -1.3259
     3              2                3.8579          78.936    -0.81109     -1.1354
     4              1                3.4927          105.75    -0.95991     -0.9819
     5              1                3.2765           88.85    -0.96509    -0.90546
     6              1                2.9366          76.908    -0.98309    -0.70175
     7              1                2.4861          74.427    -0.99796    -0.30707
     8              1                2.6861          74.341    -0.99369    -0.49366
     9              1                 3.054          99.394     -0.9908    -0.66338
    10              1                3.6091          183.51    -0.99305    -0.79598
    11              1                3.0092          114.87    -0.99654    -0.54494
    12              1                3.2961          176.12    -0.99853    -0.56155
    13              1                3.0409          131.59    -0.99814        -0.5
    14              1                3.4059          178.62    -0.99733    -0.64412
    15              1                 3.556          201.63    -0.99684     -0.7024
    16              1                3.1881          138.53     -0.9967    -0.59781
    17              1                3.4206          175.43    -0.99677    -0.66584
    18              1                3.3387          162.57    -0.99688    -0.63867
    19              1                3.5325          197.99    -0.99693    -0.69302
    20              1                3.5388          199.32    -0.99694    -0.69458


exp_decay =

    0.0505
